P_FRQ,Mecanizado,Tiempo,CH,RISE,COUN,ENER,DURATION,AMP,A_FRQ,RMS,ASL,PCNTS,R_FRQ,I_FRQ,SIG_STRNGTH,ABS_ENERGY,C_FRQ,Herramienta
87,1,0.6793577999999982,1,0,105,60,1667,65,63,0.068,59,1,62,1000,381830.0,16225.0,401,Usada
92,1,0.6814613000000023,1,422,33,10,630,58,52,0.068,59,19,67,45,117334.0,4220.0,504,Usada
92,1,0.682545300000001,1,611,39,20,864,61,45,0.068,59,25,55,40,157045.0,5868.0,450,Usada
92,1,0.6839730000000017,1,37,3,0,43,51,70,0.068,59,2,200,54,7534.0,285.004,643,Usada
87,1,0.6844522999999967,1,17,15,0,207,56,72,0.068,59,2,68,117,54138.0,2363.0,531,Usada
92,1,0.6851065999999975,1,135,9,0,234,54,38,0.068,59,4,51,29,37973.0,1055.0,566,Usada
102,1,0.6857740999999962,1,0,12,0,161,63,75,0.068,59,1,68,1000,37424.0,1654.0,510,Usada
92,1,0.6864295999999968,1,748,123,60,2159,61,57,0.068,59,47,53,62,430507.0,16686.0,498,Usada
102,1,0.6890289999999979,1,0,8,0,235,59,34,0.068,59,1,29,1000,28426.0,733.624,605,Usada
87,1,0.6897133000000011,1,4,3,0,27,51,111,0.068,59,1,90,250,5032.0,270.728,681,Usada
92,1,0.6902818000000011,1,406,38,20,796,59,48,0.068,59,13,64,32,138409.0,4661.0,495,Usada
92,1,0.6914305999999968,2,17024,2505,4470,20000,85,125,0.366,74,2129,126,125,27944000.0,7512000.0,227,Usada
92,1,0.6917905999999974,1,227,35,10,506,57,69,0.066,59,18,60,79,112118.0,4066.0,479,Usada
87,1,0.6927808000000013,1,724,60,30,1044,64,57,0.066,59,41,59,56,228537.0,10239.0,456,Usada
92,1,0.6942572999999967,1,1,7,0,178,52,39,0.066,59,1,34,1000,21808.0,622.447,587,Usada
102,1,0.6949047999999962,1,29,3,0,39,51,77,0.066,59,2,100,68,6222.0,314.023,634,Usada
92,1,0.695411,1,518,57,20,878,57,65,0.066,59,36,58,69,180102.0,6289.0,462,Usada
92,1,0.6967215999999965,1,0,31,10,763,62,41,0.066,59,1,39,1000,118066.0,3440.0,581,Usada
92,1,0.6979194999999976,1,624,64,30,1010,62,63,0.066,59,40,62,64,232959.0,10423.0,462,Usada
92,1,0.6994248000000027,1,447,37,10,646,57,57,0.066,59,26,55,58,118096.0,3989.0,519,Usada
87,1,0.7005458000000004,1,42,37,20,767,56,48,0.066,59,4,45,95,130906.0,3985.0,494,Usada
87,1,0.7017443000000014,1,96,14,0,257,54,54,0.066,59,6,49,62,42547.0,1266.0,623,Usada
92,1,0.7024534999999972,1,55,22,10,401,58,55,0.064,59,6,46,109,85156.0,3535.0,475,Usada
92,1,0.7033198000000027,1,489,45,20,624,57,72,0.064,59,34,81,69,145577.0,5681.0,475,Usada
92,1,0.7043783000000019,1,7,17,0,278,57,61,0.064,59,1,59,142,59414.0,2317.0,503,Usada
92,1,0.7051145000000005,1,0,1,0,0,50,0,0.064,59,1,0,1000,30.5,133.363,725,Usada
87,1,0.7055527999999995,1,519,59,30,873,59,68,0.064,59,33,73,63,211578.0,8915.0,471,Usada
97,1,0.7068808000000004,1,53,3,0,54,51,56,0.064,59,3,0,56,7351.0,282.385,724,Usada
102,1,0.7073692999999963,1,53,32,10,447,59,72,0.064,59,4,71,75,105805.0,4526.0,527,Usada
92,1,0.7082458000000003,1,40,135,70,2179,60,62,0.064,59,4,61,100,483669.0,19502.0,457,Usada
92,1,0.7108577999999994,1,460,37,20,771,58,48,0.064,59,23,45,50,137586.0,4754.0,495,Usada
92,1,0.7117615000000015,2,4376,2399,4630,20000,92,120,0.352,73,512,120,117,28956000.0,9609000.0,202,Usada
97,1,0.7121909999999971,1,26,4,0,41,53,98,0.062,58,3,66,115,8998.0,406.625,587,Usada
87,1,0.7126882999999964,1,44,4,0,49,51,82,0.062,58,3,200,68,8845.0,410.437,645,Usada
97,1,0.7132027999999977,1,46,6,0,56,54,107,0.062,58,5,100,108,14213.0,606.13,591,Usada
87,1,0.7136917999999994,1,0,48,30,768,70,63,0.062,58,1,61,1000,243604.0,16013.0,400,Usada
87,1,0.7149330999999961,1,78,29,10,359,59,81,0.062,58,7,78,89,105896.0,5098.0,460,Usada
92,1,0.715834000000001,1,422,204,110,3423,63,60,0.062,58,27,59,63,696254.0,27871.0,436,Usada
92,1,0.7196973,1,412,42,20,765,60,55,0.062,58,17,70,41,167933.0,7153.0,398,Usada
87,1,0.7209429999999983,1,69,10,0,170,55,59,0.062,58,4,60,57,34038.0,1172.0,508,Usada
87,1,0.7215460999999976,1,91,20,10,294,61,68,0.062,58,8,59,87,98027.0,5804.0,409,Usada
92,1,0.7222867999999991,1,352,68,30,1025,59,66,0.06,58,19,72,53,226402.0,8614.0,419,Usada
92,1,0.7237682999999961,1,152,164,90,3246,62,51,0.06,58,10,49,65,605059.0,21442.0,380,Usada
92,1,0.7274499999999975,1,332,66,30,1334,57,49,0.06,58,14,51,42,210999.0,6214.0,518,Usada
92,1,0.7292194999999992,1,0,25,10,345,60,72,0.06,58,1,69,1000,85888.0,3980.0,487,Usada
92,1,0.7300260999999963,1,9,3,0,48,51,63,0.06,58,2,26,222,8021.0,360.049,441,Usada
87,1,0.730507799999998,1,0,247,150,4682,63,53,0.058,58,1,52,1000,955443.0,38024.0,415,Usada
92,1,0.7320943,2,7068,2391,4320,20000,84,120,0.334,73,825,121,116,27028000.0,6726000.0,255,Usada
92,1,0.7356215000000006,1,0,20,10,319,59,63,0.058,58,1,59,1000,71462.0,2892.0,461,Usada
92,1,0.7363738000000026,1,538,50,30,794,65,63,0.058,58,34,62,63,232075.0,14168.0,446,Usada
