SNE1,SNE2,SNE3,Herramienta
11.727987,5.297327,-1.9439285,H2
13.099124,3.509876,-2.3543792,H2
-11.810184,12.970897,-3.3579369,H2
9.577047,4.7147074,-3.732366,H2
2.431586,-10.351243,11.038093,H2
1.8336318,0.30895177,9.568836,H2
-6.0001717,5.4598594,-0.95419025,H2
11.61525,4.729222,-2.6921341,H2
9.6387005,4.622882,-3.822955,H2
4.1071258,-1.7550036,8.098833,H2
11.331924,4.4725733,-3.132304,H2
-8.87317,7.93907,-1.8011723,H2
1.8548367,0.35542294,9.509592,H2
2.4136252,-10.605425,10.942981,H2
2.8604627,-11.164626,7.7532964,H2
-8.425508,8.553774,0.449115,H2
0.99724483,-10.230407,4.139267,H2
13.00769,3.459307,-2.570915,H2
4.7805357,-1.2443457,7.740031,H2
9.965041,4.221069,-4.056878,H2
-11.499114,12.060827,-4.320466,H2
-9.990346,10.211382,-9.179375,H2
19.509947,-2.7634482,4.815533,H2
13.356061,-8.369643,7.165533,H2
11.497679,-10.559556,6.0964265,H2
17.682081,-2.5243678,5.163264,H2
11.656148,-11.31036,7.1756206,H2
17.754112,-3.2703717,5.0302463,H2
14.074751,-8.013078,6.712466,H2
15.132385,-5.6372194,6.7847586,H2
11.486918,-11.743789,7.319754,H2
14.78855,-5.862933,6.591838,H2
12.71467,-6.9591174,6.9208055,H2
14.834268,-5.7285495,6.429438,H2
12.982843,-6.8546243,6.642396,H2
10.493454,-11.474424,6.8588514,H2
14.476798,-5.770741,7.058077,H2
12.573098,-6.9781446,6.8935075,H2
14.955072,-5.475983,6.9991474,H2
12.168282,-6.439061,6.9887013,H2
17.244148,-2.17321,5.222897,H2
14.310287,-4.795942,7.524718,H2
11.744243,-6.4535475,7.23172,H2
17.050386,-2.0660517,5.334074,H2
10.397484,-9.192188,9.132864,H2
14.519003,-4.6184025,7.4820952,H2
11.633173,-6.278113,7.96884,H2
11.242322,-5.695351,7.95897,H2
10.480332,-8.400196,9.869953,H2
14.774302,-4.274907,7.2554126,H2
11.239072,-5.722171,7.3264036,H2
14.025318,-4.7387877,6.6219683,H2
11.536374,-5.701273,6.7340074,H2
11.468858,-5.6447325,6.4314847,H2
13.988677,-4.8308764,6.440986,H2
11.090597,-5.6052847,7.1409373,H2
13.764442,-4.8239975,6.529285,H2
8.20488,-7.7452765,9.6294,H2
13.345905,-4.0632706,7.6481056,H2
8.136159,-7.7794876,9.524679,H2
13.397866,-3.8652313,7.9575105,H2
10.641128,-4.9681463,7.6363897,H2
10.656569,-6.87028,10.483201,H2
10.390707,-4.8839507,7.2424293,H2
16.27472,-1.2818244,5.4793906,H2
10.325302,-4.7372885,7.092805,H2
12.950763,-3.742564,8.111716,H2
12.692583,-3.46454,8.217352,H2
10.18374,-4.5900803,7.3523145,H2
7.5158877,-7.863602,10.126216,H2
13.100276,-3.820359,6.419901,H2
9.87244,-4.465746,7.114669,H2
12.627757,-3.3366868,6.9138513,H2
7.383238,-7.800801,9.662984,H2
9.03806,-7.694978,10.332141,H2
9.090107,-7.3855686,10.257167,H2
7.2592225,-7.867687,9.8619795,H2
16.136765,-1.2897615,5.0957665,H2
7.3367863,-7.3812594,10.301948,H2
9.681436,-4.1400485,7.314308,H2
12.015236,-2.8295155,7.124192,H2
10.503418,-6.7021785,10.487763,H2
7.3434896,-7.3237925,10.502655,H2
9.356163,-3.6634057,7.7990756,H2
12.489693,-2.7920938,9.092663,H2
12.081963,-2.8315024,9.0896845,H2
9.031422,-3.7028472,6.999411,H2
12.328634,-2.7460213,9.130993,H2
9.084426,-3.658482,7.1511855,H2
6.564153,-7.24283,10.245857,H2
11.824107,-2.4784608,6.979718,H2
11.513051,-2.2849877,7.0096245,H2
6.4612603,0.12731121,8.343179,H2
14.667222,2.01859,1.2195148,H2
6.4589686,0.12911189,8.34808,H2
-8.6337,8.379763,1.8505262,H2
11.246759,-1.9153663,7.1325665,H2
11.289613,-1.8731349,7.4112415,H2
6.8878946,-6.596453,10.525152,H2
11.339748,-2.6608083,8.925718,H2
-13.419894,13.960915,5.1904483,H2
11.248422,-2.0656922,8.380649,H2
-13.772329,17.140644,0.24976476,H2
4.9452853,-7.1427464,10.427918,H2
11.1750145,-1.6189324,7.8280225,H2
6.3058577,0.42234918,8.464127,H2
11.614783,-1.4061092,8.792264,H2
6.245976,0.45521227,8.462072,H2
10.955113,-1.2479182,7.872632,H2
4.970456,-7.607887,11.758663,H2
10.570394,-0.76991254,7.4384193,H2
4.5603333,-7.310309,10.926364,H2
6.8367453,-7.829966,11.240196,H2
4.5434904,-7.4018555,11.382576,H2
